연월일,월별 확진자 수,인구수(명)
2020-01-01,0,176112
2020-02-01,6,176879
2020-03-01,3,176967
2020-04-01,2,176984
2020-05-01,0,176886
2020-06-01,0,176975
2020-07-01,0,176742
2020-08-01,4,176937
2020-09-01,3,177266
2020-10-01,3,177085
2020-11-01,14,176885
2020-12-01,49,176894
2021-01-01,48,176742
2021-02-01,12,176703
2021-03-01,18,176145
2021-04-01,35,176276
2021-05-01,41,176062
2021-06-01,10,175877
2021-07-01,117,175722
2021-08-01,229,175815
2021-09-01,80,"175,799"
2021-10-01,53,"175,583"
2021-11-01,168,175389
,,
